gtkmm 2.24.4-2
gtkmm3 3.18.0-2
gtksourceview3 3.18.2-1
gucharmap 3.18.2-1
guile 2.0.11-3
gvfs 1.26.3-1
gvfs-afc 1.26.3-1
gvfs-goa 1.26.3-1
gvfs-google 1.26.3-1
gvfs-gphoto2 1.26.3-1
gvfs-mtp 1.26.3-1
gvfs-nfs 1.26.3-1
gvfs-smb 1.26.3-1
gzip 1.6-1
harfbuzz 1.2.4-1
harfbuzz-icu 1.2.4-1
herbstluftwm 0.7.0-1
hicolor-icon-theme 0.15-1
hsetroot 1.0.2-4
hspell 1.3-1
htop 2.0.1-1
http-parser 2.7.0-1
hub 2.2.3-1
hunspell 1.3.4-1
hwids 20160306-1
hyphen 2.8.8-1
i3-gaps-git 4.12-1
i3lock 2.7-1
i3status 2.10-1
iana-etc 20160314-1
icu 57.1-1
imagemagick 6.9.4.6-2
imlib2 1.4.7-1
inetutils 1.9.4-2
inputproto 2.3.2-1
iproute2 4.4.0-1
iptables 1.4.21-3
iputils 20150815.1c59920-3
irssi 0.8.19-1
iso-codes 3.67-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-14
jemalloc 4.1.0-1
jfsutils 1.1.15-4
js 24.2.0-3
js17 17.0.0-3
js185 1.0.0-3
json-c 0.12-2
json-glib 1.0.4-1
jsoncpp 1.7.2-1
kbd 2.0.3-1
kbproto 1.0.7-1
keychain 2.8.2-1
keyutils 1.5.9-1
kmod 22-1
kodi 16.0-2
krb5 1.13.2-3
lame 3.99.5-3
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.26-1
leafpad 0.8.18.1-4
lemonbar-git v1.1.r35.g3020df1-1
less 481-2
lib32-acl 2.2.52-2
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-elfutils 0.166-1
lib32-expat 2.2.0-1
lib32-gcc-libs 6.1.1-3
lib32-glibc 2.23-5
lib32-libcap 2.25-1
lib32-libdrm 2.4.68-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.1-1
lib32-libgpg-error 1.22-1
lib32-libidn 1.32-1
lib32-libpciaccess 0.13.4-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libx11 1.6.3-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.2-1
lib32-libxml2 2.9.3-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.8.0-1
lib32-mesa 11.2.2-1
lib32-mesa-libgl 11.2.2-1
lib32-ncurses 6.0-2
lib32-readline 6.3.008-2
lib32-systemd 230-1
lib32-wayland 1.11.0-1
lib32-xz 5.2.2-1
lib32-zlib 1.2.8-1
libaio 0.3.110-1
libao 1.2.0-1
libarchive 3.1.2-8
libass 0.13.2-1
libassuan 2.4.2-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.9.2-1
libbsd 0.8.2-2
libcaca 0.99.beta19-1
libcanberra 0.30-5
libcanberra-pulse 0.30-5
libcap 2.25-1
libcap-ng 0.7.7-1
libcddb 1.3.2-4
libcdio 0.93-3
libcdio-paranoia 10.2+0.93+1-1
